Шаг | Роль
1 | Начало | Не указано
2 | Начало | Не указано
3 | Начало | Не указано
4 | Загрузить видео | Не указано
5 | Модератор оценивает ролик | Модератор
6 | Заполнить все поля | Не указано
7 | Сообщение о новом видео, загрузка его на сервер | Не указано
8 | Автомодерация видео, добавление автоматических субтитров | Не указано
9 | Ограничение 18+ | Не указано
10 | Подключение монетизации к ролику | Не указано
11 | Проверка данных карты, сохранение всех данных | Не указано
12 | Ограничение 18+ | Не указано
13 | Автомодерация видео, добавление автоматических субтитров | Не указано
14 | Модератор оценивает ролик | Модератор
15 | Ограничение 18+ | Не указано
16 | Загрузить видео | Не указано
17 | Подключение монетизации к ролику | Не указано
18 | Проверка данных карты, сохранение всех данных | Не указано
19 | Ограничение 18+ | Не указано
20 | Автомодерация видео, добавление автоматических субтитров | Не указано
21 | Ограничение 18+ | Не указано
22 | Автомодерация видео, добавление автоматических субтитров | Не указано
23 | Ограничение
