block_id,confidence,text_len,text
1,0.1700,3,эль
2,0.4767,26,—— Момизитация выключена——
3,0.6300,19,"2
5
=
Е
р-]
5
®
Я
8"
4,0.9329,53,"Заполнить все поля
название, описание
теги, видимость"
5,0.9550,15,Загрузить видео
6,0.8660,32,"Сообщение об ублешной загрузке
|"
7,0.7236,81,"и 24
Сообщение о запрете мометизации и ограмичении 18+ Монизитация включена
| |
Н"
8,0.7800,19,"‚| Событие старта
|"
9,0.9414,49,"Выбрать время
икации и нажать
кнопку опубликовать"
10,0.9460,34,"Ввод данных своей
банковской карты"
11,0.6500,9,"<=
Всё ок"
12,0.8929,63,"количество
предупреждений,
если больше 3,
заблокировать
аккаунт"
13,0.8656,61,"о Опубликовать
видеоролик со
всеми параметрами
в нужное время"
14,0.7640,34,"з
Подключение
монетизации к
ролику"
15,0.9567,27,"модерация
видео, добавление"
16,0.9567,45,"Проверка данных
карты, сохранение
всех данных"
17,0.9283,36,"Ограничение 18+ |
з конкретном видео"
18,0.2360,21,"е\915и5
1 и гудово ди"
19,0.9437,47,"Сообщение о новом
видео, загрузка его
на серзер"
20,0.8280,58,"`“Автомодерация
видео, добавление
автоматических
субтитров"
21,0.1900,11,"ра томат
аа"
22,0.9400,8,Всё ок |
23,0.2550,18,е1на1ном до1едэгоу
24,0.9567,25,"Модератор
оценивает ролик"
25,0.4800,20,——_ запрещенный ---@
26,0.8200,15,"Удалить ролик
7"
27,0.5683,28,"Выдать
У
преду!
прежд.
ен
ие"
28,0.8600,17,"и
Ограничение 18+"
