epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,756.946,3.26673,10.0578,2.12217,0.00351,0.14532,0.01265,0.00392,3.17145,7.32121,2.17352,0.000208276,0.000208276,0.000208276
2,1476.52,2.9429,8.30549,1.94928,0.20649,0.05469,0.02056,0.00551,3.01781,7.08178,2.18843,0.000395988,0.000395988,0.000395988
3,2177.79,2.88593,7.48792,1.9216,0.12374,0.06709,0.01829,0.00531,2.99019,6.93636,2.12966,0.000563074,0.000563074,0.000563074
4,2846.27,2.87417,7.11465,1.91503,0.11808,0.09509,0.02555,0.00795,2.98917,6.64772,2.1491,0.000532187,0.000532187,0.000532187
5,3518.88,2.82479,6.92043,1.88608,0.10605,0.10641,0.01725,0.00495,3.03226,7.43826,2.14215,0.00050125,0.00050125,0.00050125
6,4205.24,2.8002,6.75573,1.87578,0.1244,0.07526,0.02251,0.00661,2.96985,7.32578,2.08213,0.000470312,0.000470312,0.000470312
7,4884.52,2.7595,6.69988,1.86037,0.00695,0.13686,0.01923,0.00528,3.02555,7.8461,2.1219,0.000439375,0.000439375,0.000439375
8,5562.83,2.72384,6.5836,1.84354,0.0079,0.15655,0.02726,0.00971,2.9065,7.47721,2.07287,0.000408438,0.000408438,0.000408438
9,6236.73,2.72463,6.54815,1.84222,0.01077,0.14542,0.02341,0.00724,2.92471,7.54594,2.06988,0.0003775,0.0003775,0.0003775
10,6912.71,2.68771,6.40619,1.82696,0.01318,0.14051,0.02741,0.00947,2.92313,7.47844,2.09062,0.000346563,0.000346563,0.000346563
11,7591.32,2.62571,6.07955,1.77939,0.01746,0.07599,0.01307,0.00406,3.04004,7.97997,2.12978,0.000315625,0.000315625,0.000315625
12,8255.26,2.56191,5.75914,1.75658,0.01064,0.04176,0.00664,0.00208,3.23579,8.61784,2.29775,0.000284688,0.000284688,0.000284688
13,8912.25,2.53231,5.64608,1.73946,0.01052,0.0433,0.0065,0.0019,3.19042,8.42346,2.2401,0.00025375,0.00025375,0.00025375
14,9565.84,2.51008,5.52957,1.71955,0.01526,0.05036,0.01267,0.004,3.20837,8.39645,2.24551,0.000222813,0.000222813,0.000222813
15,10237.2,2.45204,5.44281,1.69975,0.01835,0.04545,0.01183,0.00363,3.1629,8.55334,2.22984,0.000191875,0.000191875,0.000191875
16,10904.7,2.46036,5.39703,1.70258,0.01972,0.06608,0.01815,0.00467,3.20869,8.34915,2.26436,0.000160938,0.000160938,0.000160938
17,11572.9,2.44017,5.3529,1.6796,0.02236,0.04797,0.01508,0.00374,3.2358,8.47953,2.31269,0.00013,0.00013,0.00013
18,12254.9,2.42833,5.28304,1.67582,0.01796,0.02931,0.00863,0.00205,3.28748,8.6448,2.33573,9.90625e-05,9.90625e-05,9.90625e-05
19,12926.9,2.4221,5.24554,1.6712,0.01488,0.05289,0.01441,0.00351,3.22016,8.45122,2.3218,6.8125e-05,6.8125e-05,6.8125e-05
20,13589.6,2.40731,5.21761,1.6689,0.01242,0.04395,0.01127,0.00284,3.26896,8.78961,2.33856,3.71875e-05,3.71875e-05,3.71875e-05
